RSJProb; smartCross; smallElite;10046;0;10000; 1225_0711;0;;;;
RSJProb; smartCross; smallElite;10076;0;10000; 1225_0923;0;;;;
RSJProb; smartCross; smallElite;10002;1;10000; 1223_1358;0;;;;
RSJProb; smartCross; smallElite;10009;1;10000; 1223_1535;0;;;;
RSJProb; smartCross; smallElite;10166;1;10000; 1223_1710;0;;;;
RSJProb; smartCross; smallElite;10163;1;10000; 1223_1845;0;;;;
RSJProb; smartCross; smallElite;10101;1;10000; 1223_2018;0;;;;
RSJProb; smartCross; smallElite;10007;2;10000; 1223_0509;0;;;;
RSJProb; smartCross; smallElite;9999;2;10000; 1223_0613;0;;;;
RSJProb; smartCross; smallElite;10564;2;10000; 1223_0725;0;;;;
RSJProb; smartCross; smallElite;9937;2;10000; 1223_0835;0;;;;
RSJProb; smartCross; smallElite;9848;2;10000; 1223_0941;0;;;;
RSJProb; smartCross; smallElite;6937;3;10000; 1222_1027;0;;;;
RSJProb; smartCross; smallElite;8212;3;10000; 1222_1121;0;;;;
RSJProb; smartCross; smallElite;7248;3;10000; 1222_1218;0;;;;
RSJProb; smartCross; smallElite;8594;3;10000; 1222_1312;0;;;;
RSJProb; smartCross; smallElite;8216;3;10000; 1222_1413;0;;;;
RSJProb; smartCross; smallElite;6482;4;10000; 1223_0839;0;;;;
RSJProb; smartCross; smallElite;6956;4;10000; 1223_0955;0;;;;
RSJProb; smartCross; smallElite;7250;4;10000; 1223_1116;0;;;;
RSJProb; smartCross; smallElite;6891;4;10000; 1223_1226;0;;;;
RSJProb; smartCross; smallElite;7284;4;10000; 1223_1341;0;;;;
